Rank,Performance,Wind,Athlete,Age,Country,Location,Date
138,10.90,(+0.7),Filip Ištvanović,30,SRB,"Kruševac, SRB",25 Jun 22 - 26 Jun 22
141,10.91,(+3.1),Richard Richardson,34,ANT,"Miami, FL, USA",23 Apr 22
141,10.91,(+2.9),Deimantas Špučys,31,LTU,"Šiauliai, LTU",25 Jun 22 - 26 Jun 22
143,10.92,(+0.6),Jeremy Boutherin,33,FRA,"Thonon Les Bains, FRA",19 Jun 22
143,10.92,(+3.8),Alban Doue Tai,32,FRA,"Bordeaux, FRA",1 Jun 22
143,10.92,(+1.6),William Moutoussamy,32,FRA,"Bischwiller, FRA",5 Jun 22
143,10.92,(+1.8),Alan Alais,31,FRA,"Saint Laurent Du Maroni, FRA",22 May 22
143,10.92,(+1.4),Jeremy Lelievre,31,FRA,"Montpellier, FRA",4 Jun 22 - 5 Jun 22
143,10.92,(+0.5),Christoffer Envall,30,FIN,"Lapua, FIN",13 Jul 22
149,10.93,(+0.1),Akihiko Nakamura,31,JPN,"Akita, JPN",4 Jun 22 - 5 Jun 22
149,10.93,(+0.8),Husain Al Mezal,31,KUW,"Mashhad, IRI",29 May 22 - 30 May 22
149,10.93,(+3.0),Pape Ousmane Ndiaye,30,SEN,"Dakar, SEN",25 Jun 22
152,10.94,(NWI),Eric Shauwn Cray,33,PHI,"Akita, JPN",4 Jun 22 - 5 Jun 22
152,10.94,(+0.4),Eduard Mikhan,33,BLR,"Minsk, BLR",16 Aug 22 - 18 Aug 22
152,10.94,(-0.2 ),Martin Roe,30,NOR,"München, GER",15 Aug 22 - 21 Aug 22
152,10.94,(0.1),Kotaro Kaji,30,JPN,"各務原市, JPN",23 Oct 22
152,10.94,(0.0 ),Karo Iga,30,PNG,"Birmingham, GBR",30 Jul 22 - 7 Aug 22
157,10.95,(+1.9),Georni Jaramillo Caceres,33,VEN,"Grosseto, ITA",30 Apr 22 - 1 May 22
157,10.95,(0.2),Ramiro Alvarez,32,HON,"Lancaster, TX, USA",18 Jun 22
159,10.96,(1.1 ),Lachlan McLean,34,AUS,"Homebush, AU-NS, AUS",22 Oct 22
160,10.97,(+0.6),Teo Petrov,31,BUL,"Veliko Tarnovo, BUL",11 Jun 22 - 12 Jun 22
160,10.97,(1.3),Curt Ruiters,30,RSA,"Green Point, Cape Town, WC, RSA",19 Mar 22
160,10.97,(0.1),Maurice Pierce,30,USA,"Lexington, KY, USA",28 Jul 22 - 31 Jul 22
163,10.98,(+3.7),Larbi Bourrada,34,ALG,"St Pierre, MRI",8 Jun 22 - 12 Jun 22
163,10.98,(+1.5),Sunnat Ismailov,30,UZB,"Tashkent, UZB",4 Jun 22 - 5 Jun 22
165,11.00,(-0.6),Dimitri Rholaas,34,SUR,"Miami, FL, USA",28 May 22
165,11.00,(+2.2),Danas Sodaitis,33,LTU,"Palanga, LTU",3 Jun 22 - 4 Jun 22
167,11.01,(0.0 ),Kurt Felix,34,GRN,"Birmingham, GBR",30 Jul 22 - 7 Aug 22
167,11.01,(-0.9),Paweł Wiesiołek,30,POL,"Götzis, AUT",28 May 22 - 29 May 22
169,11.02,(-0.6),Sofronios Charpas,31,CYP,"Limassol, CYP",25 Jun 22 - 26 Jun 22
169,11.02,(-0.1),Vagiani Vagianos,30,CYP,"Limassol, CYP",25 Jun 22 - 26 Jun 22
169,11.02,(+3.0),Charlie Roe,30,GBR,"Manchester, GBR",24 Jun 22 - 26 Jun 22
172,11.03,(-0.9),Michio Yamaguchi,31,JPN,"Gifu, JPN",23 Sep 22 - 25 Sep 22
172,11.03,"(+1,0)",Carl Emil Kåshagen,31,NOR,"Oslo/St, NOR",9 Jul 22
172,11.03,(1.3 ),Michał WŁodarczyk,31,POL,"Poznań, POL",11 Jun 22 - 12 Jun 22
175,11.04,(+1.6),Yendountien Tiebekabe,31,TOG,"Toul, FRA",10 Jun 22
176,11.06,(+5.0),Mohamed Ousseni,33,FRA,"L'etang Sale, FRA",4 Jun 22 - 5 Jun 22
